date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5205,14
2007-01-12,winter,46.877,"(45.0, 50.0]",0.537,15
2007-01-12,winter,46.877,"(45.0, 50.0]",0.599,16
2007-01-12,winter,46.877,"(45.0, 50.0]",0.668,17
2007-01-12,winter,46.877,"(45.0, 50.0]",0.702,18
2007-01-12,winter,46.877,"(45.0, 50.0]",0.7134,19
2007-01-12,winter,46.877,"(45.0, 50.0]",0.7104,20
2007-01-12,winter,46.877,"(45.0, 50.0]",0.702,21
2007-01-12,winter,46.877,"(45.0, 50.0]",0.6904,22
2007-01-12,winter,46.877,"(45.0, 50.0]",0.678,23
2007-01-13,winter,53.807,"(50.0, 55.0]",0.663,0
2007-01-13,winter,53.807,"(50.0, 55.0]",0.6514,1
2007-01-13,winter,53.807,"(50.0, 55.0]",0.6396,2
2007-01-13,winter,53.807,"(50.0, 55.0]",0.628,3
2007-01-13,winter,53.807,"(50.0, 55.0]",0.614,4
2007-01-13,winter,53.807,"(50.0, 55.0]",0.594,5
2007-01-13,winter,53.807,"(50.0, 55.0]",0.572,6
2007-01-13,winter,53.807,"(50.0, 55.0]",0.546,7
2007-01-13,winter,53.807,"(50.0, 55.0]",0.5215,8
2007-01-13,winter,53.807,"(50.0, 55.0]",0.4683,9
2007-01-13,winter,53.807,"(50.0, 55.0]",0.379,10
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3115,11
2007-01-13,winter,53.807,"(50.0, 55.0]",0.2827,12
2007-01-13,winter,53.807,"(50.0, 55.0]",0.267,13
2007-01-13,winter,53.807,"(50.0, 55.0]",0.2448,14
2007-01-13,winter,53.807,"(50.0, 55.0]",0.2231,15
2007-01-13,winter,53.807,"(50.0, 55.0]",0.2162,16
2007-01-13,winter,53.807,"(50.0, 55.0]",0.267,17
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3015,18
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3074,19
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3076,20
2007-01-13,winter,53.807,"(50.0, 55.0]",0.2964,21
2007-01-13,winter,53.807,"(50.0, 55.0]",0.2864,22
2007-01-13,winter,53.807,"(50.0, 55.0]",0.2766,23
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2717,0
2007-01-14,winter,56.03,"(55.0, 60.0]",0.27,1
2007-01-14,winter,56.03,"(55.0, 60.0]",0.271,2
2007-01-14,winter,56.03,"(55.0, 60.0]",0.273,3
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2712,4
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2676,5
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2659,6
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2651,7
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2615,8
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2417,9
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2118,10
2007-01-14,winter,56.03,"(55.0, 60.0]",0.1733,11
2007-01-14,winter,56.03,"(55.0, 60.0]",0.1562,12
2007-01-14,winter,56.03,"(55.0, 60.0]",0.1475,13
2007-01-14,winter,56.03,"(55.0, 60.0]",0.1357,14
2007-01-14,winter,56.03,"(55.0, 60.0]",0.1316,15
2007-01-14,winter,56.03,"(55.0, 60.0]",0.1423,16
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2125,17
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2803,18
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3137,19
2007-01-14,winter,56.03,"(55.0, 60.0]",0.345,20
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3765,21
2007-01-14,winter,56.03,"(55.0, 60.0]",0.4153,22
2007-01-14,winter,56.03,"(55.0, 60.0]",0.4495,23
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.4802,0
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.507,1
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.543,2
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.5684,3
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.5913,4
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6143,5
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.63,6
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6465,7
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.657,8
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.643,9
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.605,10
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6094,11
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6304,12
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6484,13
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6655,14
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.68,15
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.682,16
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.72,17
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.745,18
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.756,19
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.756,20
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.751,21
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.735,22
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.71,23
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.678,0
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6504,1
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.617,2
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.605,3
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5933,4
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.583,5
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.575,6
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.568,7
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.566,8
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.539,9
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.513,10
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5107,11
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5225,12
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.538,13
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.557,14
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.578,15
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5884,16
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.566,17
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.614,18
